39.569999694824239.70999908447000000005 2016-05-1139.56999969439.7099990
39.169998168945339.50999832153000000006 2016-05-1239.84999847439.5099983
39.310001373291039.47999954223000000005 2016-05-1339.54000091539.4799995
39.130001068115239.29999923706000000010 2016-05-1639.36000061039.2999992
0000000000038.7539.06499862670000000010 2016-05-1739.09999847439.0649986
00000000000038.538.97999954223000000010 2016-05-1839.18000030538.9799995
37.310001373291037.65000152587000000017 2016-05-1938.81000137337.6500015
37.490001678466837.52999877929000000012 2016-05-2037.79000091537.5299987
37.389999389648438.06999969482000000009 2016-05-2337.68000030538.0699996
38.279998779296838.91999816894000000007 2016-05-2438.27999877938.9199981
38.509998321533238.75999832153000000006 2016-05-2538.86999893138.7599983
000000000000003838.06999969482000000005 2016-05-2638.70999908438.0699996
37.919998168945338.09000015258000000005 2016-05-2700000000003838.0900001
00000000000037.537.79000091552000000012 2016-05-3137.95999908437.7900009
37.709999084472638.31000137329000000005 2016-06-0137.81000137338.3100013
38.319999694824238.56000137329000000004 2016-06-0238.41999816838.5600013
37.812999725341838.33000183105000000004 2016-06-0338.43999862638.3300018
37.979999542236338.09999847412000000005 2016-06-0638.47000122038.0999984
37.520000457763637.56999969482000000006 2016-06-0738.06999969437.5699996
37.060001373291037.54999923706000000008 2016-06-0837.52999877937.5499992
37.110000610351537.13000106811000000010 2016-06-0937.47999954237.1300010
36.619998931884736.77000045776000000007 2016-06-1036.83000183136.7700004
36.494998931884736.54000091552000000008 2016-06-130000000036.536.5400009
0000000000036.2537.15999984741000000010 2016-06-1436.36999893137.1599998
36.784999847412136.84000015258000000007 2016-06-1537.15999984736.8400001
36.349998474121036.97000122070000000006 2016-06-1636.61999893136.9700012
36.630001068115236.97000122070000000007 2016-06-1737.02999877936.9700012
36.819999694824236.86000061035000000007 2016-06-2037.27999877936.8600006
35.950000762939436.15999984741000000012 2016-06-2136.79999923736.1599998
35.779998779296800000000000036000000009 2016-06-2236.2799987790000000036
36.049999237060536.65999984741000000004 2016-06-2336.27000045736.6599998
34.610000610351535.08000183105000000017 2016-06-2400000000003535.0800018
000000000000003434.20000076293000000011 2016-06-2734.74000167834.2000007
34.229999542236335.24000167846000000012 2016-06-2834.45999908435.2400016
35.290000915527335.77000045776000000009 2016-06-2935.68999862635.7700004
35.590000152587836.50999832153000000009 2016-06-3035.81000137336.5099983
0000000000036.2536.34999847412000000007 2016-07-0136.59999847436.3499984
35.869998931884736.11999893188000000005 2016-07-0536.29999923736.1199989
35.715000152587835.93000030517000000007 2016-07-0635.93999862635.9300003
35.840000152587836.31999969482000000007 2016-07-0735.91999816836.3199996
36.659999847412137.36000061035000000006 2016-07-0836.77999877937.3600006
37.400001525878938.15000152587000000010 2016-07-1137.45000076238.1500015
38.240001678466838.79000091552000000009 2016-07-1238.47000122038.7900009
38.830001831054639.27999877929000000012 2016-07-1338.84000015239.2799987
39.400001525878939.95999908447000000009 2016-07-1439.68999862639.9599990
38.979999542236339.09000015258000000008 2016-07-1540.02000045739.0900001
38.729999542236338.91999816894000000007 2016-07-1839.13000106838.9199981
38.830001831054639.36999893188000000008 2016-07-1938.97000122039.3699989
39.119998931884740.04999923706000000011 2016-07-2039.43999862640.0499992
39.650001525878940.13000106811000000013 2016-07-2140.33000183140.1300010
36.430000305175737.41999816894000000036 2016-07-2237.29999923737.4199981
37.619998931884737.77999877929000000016 2016-07-2537.70000076237.7799987
37.599998474121037.68999862670000000010 2016-07-2637.77999877937.6899986
37.044998168945337.22000122070000000008 2016-07-2737.63999938937.2200012
37.101001739501937.22000122070000000005 2016-07-2837.40000152537.2200012
36.860000610351537.24000167846000000006 2016-07-2937.40999984737.2400016
36.900001525878937.06000137329000000005 2016-08-0137.43000030537.0600013
36.360000610351536.54000091552000000005 2016-08-0237.06000137336.5400009
36.279998779296836.58000183105000000007 2016-08-0336.59000015236.5800018
36.729999542236337.29999923706000000007 2016-08-0436.81999969437.2999992
37.549999237060538.09999847412000000007 2016-08-0537.54999923738.0999984
37.650001525878937.90999984741000000006 2016-08-0838.18999862637.9099998
37.880001068115238.09999847412000000005 2016-08-0938.02999877938.0999984
37.909999847412138.06999969482000000005 2016-08-1038.02000045738.0699996
38.099998474121038.45999908447000000005 2016-08-1138.18999862638.4599990
