0.175347223877900.132848113775000000056 1991-04-100.17708332830.17621527
0.177083328366270.142664477229000000111 1991-04-110.17881944770.18923610
00000000000.18750.149208709597000000141 1991-04-120000000.18750.19791667
0.185763895511620.145282149314000000046 1991-04-150.19791667160.19270832
00000000000.18750.155752956867000000177 1991-04-160.19270832830.20659722
0.206597223877900.170150294899000000298 1991-04-170.20833332830.22569444
0.217013895511620.168841466307000000144 1991-04-180.22395832830.22395832
0.215277776122090.166223779320000000126 1991-04-190.22222222380.22048610
000000000.2031250.159679517149000000066 1991-04-220.21701389550.21180555
0.213541671633720.162297204136000000046 1991-04-230.21354167160.21527777
0.215277776122090.168841466307000000090 1991-04-240.21701389550.22395832
0.211805552244180.163606047630000000073 1991-04-250.22222222380.21701389
0.211805552244180.159679517149000000054 1991-04-260.21180555220.21180555
0.197916671633720.150517567992000000055 1991-04-290.21180555220.19965277
0.196180552244180.155752956867000000077 1991-04-300.19791667160.20659722
0.197916671633720.157061800360000000047 1991-05-010.20138889550.20833332
0.210069447755810.160988360643000000025 1991-05-020.21180555220.21354167
0.208333328366270.160988360643000000034 1991-05-030.21354167160.21354167
0.208333328366270.164914920926000000059 1991-05-060.21006944770000.21875
0.206597223877900.164914920926000000111 1991-05-070.22048610440000.21875
0.206597223877900.163606047630000000109 1991-05-080.22048610440.21701389
0.213541671633720.166223779320000000090 1991-05-090.22048610440.22048610
0.210069447755810.160988360643000000276 1991-05-100.22916667160.21354167
0.213541671633720.166223779320000000099 1991-05-130.21354167160.22048610
0.211805552244180.160333946347000000088 1991-05-14000000.218750.21267360
0.192708328366270.147899866104000000180 1991-05-150.20486110440.19618055
0.196180552244180.151826426386000000095 1991-05-160.19791667160.20138889
0.194444447755810.149208709597000000042 1991-05-170.19618055220.19791667
0.194444447755810.147899866104000000037 1991-05-200.19791667160.19618055
0.197916671633720.153135254979000000074 1991-05-210.1996527761000.203125
0.204861104488370.159679517149000000102 1991-05-220.20486110440.21180555
0.213541671633720.162297204136000000079 1991-05-230.21354167160.21527777
0.213541671633720.166223779320000000057 1991-05-240.21701389550.22048610
0000000000.218750.174076825380000000107 1991-05-280.22048610440.23090277
0.220486104488370.168841466307000000066 1991-05-290.23090277610.22395832
0.220486104488370.170804724097000000067 1991-05-300.227430552200.2265625
