50.950000762939452.20999908447000000071 2013-10-1751.11999893152.2099990
53.599998474121054.22000122070000000088 2013-10-1854.18000030554.2200012
53.509998321533253.84999847412000000058 2013-10-2154.68000030553.8499984
52.200000762939452.68000030517000000083 2013-10-2254.33000183152.6800003
51.130001068115251.90000152587000000057 2013-10-23000000051.7551.9000015
51.590000152587852.45000076293000000046 2013-10-2452.38000106852.4500007
51.880001068115251.95000076293000000045 2013-10-2553.18000030551.9500007
49.610000610351550.22999954223000000073 2013-10-2851.54000091550.2299995
0000000000049.2549.40000152587000000102 2013-10-2950.72999954249.4000015
0000000000048.7549.00999832153000000127 2013-10-3000000000005049.0099983
00000000000046.550.20999908447000000248 2013-10-3147.15999984750.2099990
49.720001220703100000000049.75000000095 2013-11-0150.8499984740000049.75
48.020000457763648.22000122070000000080 2013-11-0449.36999893148.2200012
47.509998321533250.11000061035000000076 2013-11-0547.79000091550.1100006
48.709999084472649.11999893188000000067 2013-11-0650.25999832149.1199989
47.299999237060547.56000137329000000097 2013-11-0749.24000167847.5600013
0000000000047.2547.52999877929000000070 2013-11-0847.81000137347.5299987
45.729999542236346.20000076293000000080 2013-11-1147.04000091546.2000007
45.830001831054646.61000061035000000068 2013-11-1200000000004646.6100006
46.060001373291048.70999908447000000079 2013-11-1346.22999954248.7099990
48.029998779296848.99000167846000000075 2013-11-1448.70000076248.9900016
48.709999084472649.00999832153000000042 2013-11-1549.11000061049.0099983
45.799999237060545.83000183105000000085 2013-11-1848.47000122045.8300018
45.720001220703146.36000061035000000075 2013-11-1946.25999832146.3600006
46.310001373291046.43000030517000000053 2013-11-2046.61000061046.4300003
46.689998626708946.70000076293000000034 2013-11-2146.99000167846.7000007
45.959999084472646.22999954223000000040 2013-11-2247.04000091546.2299995
44.040000915527344.81999969482000000082 2013-11-2546.36000061044.8199996
43.549999237060545.88999938964000000082 2013-11-2644.65999984745.8899993
45.529998779296846.49000167846000000044 2013-11-2745.97000122046.4900016
00000000000046.547.00999832153000000022 2013-11-29000000046.7547.0099983
46.259998321533247.06000137329000000050 2013-12-0246.90000152547.0600013
46.290000915527346.72999954223000000032 2013-12-03000000046.7546.7299995
46.259998321533248.61999893188000000060 2013-12-0446.45999908448.6199989
47.869998931884748.34000015258000000043 2013-12-0548.15000152548.3400001
47.709999084472647.93999862670000000042 2013-12-0648.97999954247.9399986
47.740001678466848.84000015258000000036 2013-12-0948.09000015248.8400001
48.540000915527300000000050.25000000068 2013-12-1048.6399993890000050.25
49.009998321533249.38000106811000000065 2013-12-1150.54999923749.3800010
50.659999847412151.83000183105000000092 2013-12-1251.04999923751.8300018
51.340000152587853.31999969482000000082 2013-12-1351.65999984753.3199996
52.909999847412153.81000137329000000085 2013-12-16000000053.2553.8100013
54.240001678466854.86000061035000000078 2013-12-1754.75999832154.8600006
0000000000053.7555.56999969482000000076 2013-12-1854.86000061055.5699996
53.950000762939455.04999923706000000089 2013-12-1954.33000183155.0499992
54.229999542236355.11999893188000000239 2013-12-2054.93000030555.1199989
55.450000762939457.77000045776000000098 2013-12-230000000055.557.7700004
56.909999847412157.95999908447000000046 2013-12-2458.27000045757.9599990
57.369998931884757.72999954223000000055 2013-12-2658.31999969457.7299995
0000000000055.2555.43999862670000000060 2013-12-2757.47999954255.4399986
53.430000305175753.70999908447000000068 2013-12-3054.93000030553.7099990
53.909999847412154.65000152587000000043 2013-12-3154.11999893154.6500015
54.189998626708954.70999908447000000043 2014-01-0254.83000183154.7099990
54.529998779296854.56000137329000000038 2014-01-0355.02000045754.5600013
54.049999237060557.20000076293000000068 2014-01-0654.41999816857.2000007
57.220001220703157.91999816894000000077 2014-01-0757.70000076257.9199981
57.229999542236358.22999954223000000056 2014-01-0857.59999847458.2299995
56.650001525878957.22000122070000000092 2014-01-0958.65000152557.2200012
57.060001373291057.93999862670000000042 2014-01-1057.13000106857.9399986
55.380001068115255.90999984741000000063 2014-01-1357.90999984755.9099998
56.099998474121057.74000167846000000037 2014-01-1456.45999908457.7400016
57.270000457763657.59999847412000000033 2014-01-1557.97999954257.5999984
56.830001831054657.18999862670000000034 2014-01-1657.25999832157.1899986
56.069999694824256.29999923706000000040 2014-01-1757.29999923756.2999992
00000000000056.558.50999832153000000048 2014-01-2156.59999847458.5099983
57.099998474121057.50999832153000000061 2014-01-2258.84999847457.5099983
55.689998626708956.63000106811000000047 2014-01-2356.36999893156.6300010
54.400001525878954.45000076293000000055 2014-01-2456.15000152554.4500007
51.849998474121053.54999923706000000073 2014-01-2754.72999954253.5499992
