000001.1035156250.010655432008000000000 1963-03-120000000000001.11328125
000001.1113281250.010748898610000000000 1963-03-130000000000001.12304687
000001.1152343750.010748898610000000000 1963-03-140000000000001.12304687
00000001.11718750.010748898610000000000 1963-03-150000000000001.12304687
000001.1230468750.010804979130000000000 1963-03-180000000000001.12890625
000001.1230468750.010804979130000000000 1963-03-190000000000001.12890625
000001.1230468750.010804979130000000000 1963-03-200000000000001.12890625
0000001.128906250.010861057788000000000 1963-03-210000000000001.13476562
00000001.13281250.010954525321000000000 1963-03-220000000000001.14453125
0000001.136718750.010991908609000000000 1963-03-2500000000000001.1484375
00000001.14843750.011141459457000000000 1963-03-2600000000000001.1640625
0000001.160156250.011253624223000000000 1963-03-270000000000001.17578125
000001.1660156250.011160152964000000000 1963-03-280000000000001.16601562
0000000001.156250.011066687293000000000 1963-03-290000000000000001.15625
00000001.14843750.011104072444000000000 1963-04-010000000000001.16015625
000000001.1406250.010917141102000000000 1963-04-02000000000000001.140625
000001.1464843750.011010602116000000000 1963-04-030000000000001.15039062
00000001.13281250.011178845539000000000 1963-04-040000000000001.16796875
0000001.152343750.011216231621000000000 1963-04-05000000000000001.171875
0000001.175781250.011440552771000000000 1963-04-0800000000000001.1953125
000001.1972656250.011664881370000000000 1963-04-090000000000000001.21875
000000001.2031250.011552718468000000000 1963-04-100000000000001.20703125
000000001.2031250.011664881370000000000 1963-04-110000000000000001.21875
0000000001.218750.011851821094000000000 1963-04-150000000000001.23828125
000001.2285156250.011818005703000000000 1963-04-160000000000001.22851562
0000000001.218750.011724058538000000000 1963-04-170000000000000001.21875
00000001.21093750.011724058538000000000 1963-04-180000000000000001.21875
0000001.214843750.011724058538000000000 1963-04-190000000000000001.21875
0000001.222656250.011761637404000000000 1963-04-220000000000001.22265625
0000000001.218750.011818005703000000000 1963-04-230000000000001.22851562
0000000001.218750.011742846108000000000 1963-04-240000000000001.22070312
0000000001.218750.011724058538000000000 1963-04-250000000000000001.21875
00000001.21093750.011686482466000000000 1963-04-260000000000001.21484375
00000001.21093750.011761637404000000000 1963-04-290000000000001.22265625
0000001.214843750.011686482466000000000 1963-04-300000000000001.21484375
0000001.214843750.011724058538000000000 1963-05-010000000000000001.21875
000001.2128906250.011705270037000000000 1963-05-020000000000001.21679687
000001.2089843750.011648908257000000000 1963-05-0300000000000001.2109375
000000001.2031250.011573754251000000000 1963-05-06000000000000001.203125
0000001.191406250.011536176316000000000 1963-05-070000000000001.19921875
0000001.191406250.011536176316000000000 1963-05-080000000000001.19921875
000000001.2031250.011667703278000000000 1963-05-090000000000001.21289062
000001.2128906250.011724058538000000000 1963-05-100000000000000001.21875
000001.2128906250.011686482466000000000 1963-05-130000000000001.21484375
000001.2128906250.011724058538000000000 1963-05-140000000000000001.21875
00000001.21093750.011705270037000000000 1963-05-150000000000001.21679687
0000001.207031250.011724058538000000000 1963-05-160000000000000001.21875
0000001.214843750.011724058538000000000 1963-05-170000000000000001.21875
00000001.21093750.011724058538000000000 1963-05-200000000000000001.21875
000001.2128906250.011724058538000000000 1963-05-210000000000000001.21875
0000001.214843750.011705270037000000000 1963-05-220000000000001.21679687
000001.2128906250.011705270037000000000 1963-05-230000000000001.21679687
00000001.21093750.011648908257000000000 1963-05-2400000000000001.2109375
0000001.207031250.011686482466000000000 1963-05-270000000000001.21484375
0000001.199218750.011573754251000000000 1963-05-28000000000000001.203125
000001.2011718750.011573754251000000000 1963-05-29000000000000001.203125
00000001.19531250.011498595587000000000 1963-05-3100000000000001.1953125
000001.1972656250.011517390608000000000 1963-06-030000000000001.19726562
000001.1894531250.011498595587000000000 1963-06-0400000000000001.1953125
000001.1894531250.011442229151000000000 1963-06-050000000000001.18945312
000001.1894531250.011479804292000000000 1963-06-060000000000001.19335937
000001.1855468750.011423441581000000000 1963-06-0700000000000000001.1875
000000001.1718750.011348285712000000000 1963-06-1000000000000001.1796875
000000001.1718750.011273130774000000000 1963-06-11000000000000001.171875
000001.1699218750.011254350654000000000 1963-06-120000000000001.16992187
0000000001.156250.011160408146000000000 1963-06-130000000000001.16015625
000001.1582031250.011141616851000000000 1963-06-140000000000001.15820312
000001.1542968750.011160408146000000000 1963-06-170000000000001.16015625
0000000001.156250.011291921138000000000 1963-06-180000000000001.17382812
000001.1699218750.011329500935000000000 1963-06-190000000000001.17773437
000001.1738281250.011385861784000000000 1963-06-200000000000001.18359375
000001.1738281250.011385861784000000000 1963-06-210000000000001.18359375
000001.1738281250.011291921138000000000 1963-06-240000000000001.17382812
000001.1777343750.011329500935000000000 1963-06-250000000000001.17773437
000001.1777343750.011329500935000000000 1963-06-260000000000001.17773437
00000001.16406250.011329500935000000000 1963-06-270000000000001.17773437
000001.1738281250.011385861784000000000 1963-06-280000000000001.18359375
0000001.175781250.011479804292000000000 1963-07-010000000000001.19335937
000001.1894531250.011498595587000000000 1963-07-0200000000000001.1953125
00000000001.18750.011536176316000000000 1963-07-030000000000001.19921875
000000001.2031250.011667703278000000000 1963-07-050000000000001.21289062
000001.2050781250.011611329391000000000 1963-07-080000000000001.20703125
0000001.199218750.011592535302000000000 1963-07-090000000000001.20507812
00000001.19531250.011573754251000000000 1963-07-10000000000000001.203125
000001.2011718750.011630121618000000000 1963-07-110000000000001.20898437
000000001.2031250.011592535302000000000 1963-07-120000000000001.20507812
00000001.19531250.011554962955000000000 1963-07-150000000000001.20117187
00000001.19531250.011558735743000000000 1963-07-1600000000000001.1953125
000000001.1718750.011445417068000000000 1963-07-170000000000001.18359375
0000001.167968750.011369869112000000000 1963-07-180000000000001.17578125
00000001.16406250.011294321157000000000 1963-07-190000000000001.16796875
000001.1699218750.011332089081000000000 1963-07-22000000000000001.171875
00000001.16406250.011313211172000000000 1963-07-230000000000001.16992187
000001.1542968750.011218781583000000000 1963-07-240000000000001.16015625
0000001.144531250.011067683808000000000 1963-07-250000000000001.14453125
000000000001.1250.010992136783000000000 1963-07-260000000000001.13671875
000001.1347656250.010992136783000000000 1963-07-290000000000001.13671875
00000001.13281250.011086570098000000000 1963-07-300000000000001.14648437
0000001.144531250.011067683808000000000 1963-07-310000000000001.14453125
0000001.128906250.010954363271000000000 1963-08-0100000000000001.1328125
0000001.121093750.011105451732000000000 1963-08-0200000000000001.1484375
0000001.136718750.011105451732000000000 1963-08-0500000000000001.1484375
000001.1425781250.011143223382000000000 1963-08-060000000000001.15234375
0000000001.156250.011313211172000000000 1963-08-070000000000001.16992187
00000001.16406250.011332089081000000000 1963-08-08000000000000001.171875
000001.1660156250.011464305222000000000 1963-08-090000000000001.18554687
00000001.19531250.011728731915000000000 1963-08-120000000000001.21289062
0000001.214843750.011785383336000000000 1963-08-130000000000000001.21875
0000000001.218750.011955359019000000000 1963-08-140000000000001.23632812
000000001.2343750.011974247172000000000 1963-08-150000000000001.23828125
0000001.230468750.012030918151000000000 1963-08-160000000000001.24414062
000001.2402343750.012068687938000000000 1963-08-190000000000001.24804687
000000001.2343750.011936481110000000000 1963-08-20000000000000001.234375
000001.2402343750.011993130668000000000 1963-08-210000000000001.24023437
0000001.230468750.011993130668000000000 1963-08-220000000000001.24023437
0000001.230468750.011898701079000000000 1963-08-230000000000001.23046875
00000001.21093750.011709838174000000000 1963-08-2600000000000001.2109375
000001.2207031250.011842035688000000000 1963-08-270000000000001.22460937
00000001.21093750.011785383336000000000 1963-08-280000000000000001.21875
0000000001.218750.011785383336000000000 1963-08-290000000000000001.21875
00000001.22656250.011898701079000000000 1963-08-300000000000001.23046875
0000001.230468750.011974247172000000000 1963-09-030000000000001.23828125
000001.2363281250.012012023478000000000 1963-09-0400000000000001.2421875
0000001.238281250.012087575159000000000 1963-09-050000000000000000001.25
0000001.246093750.012087575159000000000 1963-09-060000000000000000001.25
000001.2324218750.011917592957000000000 1963-09-090000000000001.23242187
000000001.2343750.011955359019000000000 1963-09-100000000000001.23632812
000001.2285156250.011974247172000000000 1963-09-110000000000001.23828125
000000001.2343750.012030918151000000000 1963-09-120000000000001.24414062
000000001.2343750.011936481110000000000 1963-09-13000000000000001.234375
